N,id,framerate,frames,bitrate,duration,size
0,6VCz-cbQfh0,29.0,11996,223505,400.94300000000004,11201611
1,6YFG-CpufoY,29.967740999999997,929,273737,31.133000000000003,1065283
2,72i5-y6ot_Q,29.0,980,312273,32.666,1275092
3,73ig-LORiRc,30.053459999999998,9557,988488,318.668,39374971
4,76yV-TxnFo0,20.0,1381,259974,69.0,2242282
5,7aeo-9dGEKs,12.0,3347,55402,278.91666000000004,1931589
6,7ApB-Tfc0Oc,12.0,9582,56106,798.5333,5600379
7,7BVy-kQQXqI,12.0,3306,53630,275.52832,1847077
8,7cca-dGU1Kc,30.0,1383,1163273,46.113335,6705304
9,7hge-0s7WUY,30.0,41648,388897,1388.233,67484962
10,7jPY-rB13kQ,12.0,5105,56923,425.435,3027132
11,_7ku-K7FX3Y,30.170214,1418,2618943,47.36,15504144
12,7LiQ-CWgslw,6.0,540,320678,89.833,3600937
13,7nGR-geugug,12.0,1800,55540,188.685,1309947
14,7oFq-pXb6q0,30.0,1380,1152692,45.975,6624377
15,7rOY-C_PtsQ,25.0,7802,276931,312.08,10803083
16,7shL-aRRS1E,12.0,860,50638,71.666664,453633
17,7sjo-5i888M,29.988234999999996,2549,1013119,85.133,10781240
18,7W-H-d-CF1E,17.0,887,291574,52.117,1899501
19,80R3-A65TJg,29.0,10560,74961,352.36166000000003,3301708
20,84f7-3naMQM,12.0,4596,56122,383.035,2687093
21,84W3-WkoJoY,30.179486999999998,1177,536071,39.288000000000004,2632649
22,86Iz-htUcTw,30.0,3802,722691,126.73333000000001,11448638
23,8BRB-_XSbkI,29.0,1712,168767,114.424995,2413903
24,8fLS-7BpD7M,29.904761999999998,1884,1941852,63.298,15364419
25,8Fnv-t_vTuM,24.0,3790,517294,157.875,10208476
26,-8gap-UkO9A,15.0,12666,691467,844.331,72978401
27,8HNprY0GufU,12.0,927,56228,77.275,543130
28,8ISf-dwtjL0,30.0,972,294877,32.367,1193039
29,8jNB-M2qlfs,25.0,2246,257243,89.84,2888848
30,8K7s-oRKDhE,29.0,81056,436950,2704.535,147718634
31,8kDm-ER3ckw,12.0,1009,55855,84.10167,587188
32,8LFL-zX6SLY,30.0,9721,2158977,324.03333,87447563
33,8muI-axGAV4,29.0,26915,310941,898.03,34904340
34,8nEyfVOKrPo,29.970833000000002,14386,81668,480.01300000000003,4900259
35,8OxU-MkeeZw,30.0,4200,308651,140.095,5405075
36,8QDN-erMmDs,29.0,6674,234407,222.65599999999998,6524041
37,8qhv-4w6qn0,25.098902,4568,76378,182.831,1745543
38,8YBP-htpIEk,30.0,4455,631024,148.467,11710796
39,90SdmjuCAqw,30.0,7470,1232944,249.0,38375409
40,94bO-IX0xwY,29.0,4121,2013386,137.50833,34607185
41,974m-fpf9lY,10.0,4348,258213,434.7,14030668
42,9b8l-rf2ri4,30.036364000000003,13216,27344,440.974,1507291
43,9dgpTv_Fl5A,29.0,3816,792990,129.343,12820978
44,9G-D-IJzmeM,24.0,4840,194996,201.625,4914514
45,9GH7-kjw0ng,12.0,7258,55452,604.8333,4192430
46,9IHb-wBW4xA,29.0,6277,314162,209.40900000000002,8223554
47,9IqF-wyZsoE,30.086123999999998,6288,553329,209.81599999999997,14512177
48,9MCi-UkWi9o,25.0,6252,763026,250.04,23848393
49,9oJL-RVnVmI,24.0,6159,350891,248.63834,10905640
50,9QUp-UOhTnE,25.0,3242,1346134,129.68333,21821402
51,9S1h-c6DH9c,29.0,2738,2201842,91.38167,25151006
52,9Sbo-24_oPQ,15.0,1266,570261,84.333,6011478
53,9sfr-KuoizY,14.986207,2173,352362,145.012,6387105
54,9TpR-67fWfU,12.0,872,52305,72.67833,475182
55,9Ulf-GunbHE,12.0,866,58279,72.166664,525732
56,9wVP-GUrvMc,30.0,7747,289837,258.2,9354512
57,9Z6H-2uZLeE,12.0,1453,59114,121.115,894954
58,9zs0-ytmq2k,30.07527,5594,3850098,186.72299999999998,89862732
59,_A2Y-fGegSs,30.019416999999997,6184,390894,206.42,10086045
60,A3Vk-AVDlFY,25.0,2853,255266,114.08,3640100
61,a46-kKt7pN4,12.0,5171,56711,430.96167,3055037
62,a4BO-8YpAn0,29.0,1627,698135,54.253997999999996,4734578
63,-A4LsI3NC6g,25.0,4937,405742,197.44,10013717
64,_A7y-02da34,25.084745,4440,236565,177.685,5254260
65,Aa1M-tG5q54,24.817733999999998,5038,136133,203.49400000000003,3462804
66,abeA-5-ZhwM,29.0,2056,1743940,68.61333499999999,14957196
67,A-b--_khR7U,29.0,1549,2993212,51.636665,19319941
68,aC9Q-9fPeAQ,12.0,2000,52668,166.67166,1097296
69,ACJ6-TUikWc,12.0,527,54230,43.931667,297802
70,acv9-OCZFSY,12.0,1606,55895,169.04,1181066
71,ADP6-VDwXfk,29.0,6282,270333,209.576,7081938
72,AdVU-9Vsi_c,25.0,4366,256588,174.6,5600038
73,ae2-r721PMc,24.0,5414,1841336,225.605,51926843
74,aEaq-XjIai8,12.0,1528,55159,127.33833,877989
75,AEP9-QxDbgs,12.0,453,51770,37.755,244323
76,aFiB--diadU,25.017857,7005,124734,280.29400000000004,4370275
77,aGqD-NQHSF4,25.0,63862,280353,2554.44,89518398
78,AhmQ-ukVnHE,30.0,5833,291644,194.4,7086958
79,AIM5-i2Palg,30.0,2035,999418,67.799995,8470071
80,AJ_J-CFu6jI,15.0,2592,197934,172.80167,4275434
81,aJoK-4EkCuk,12.0,1514,54030,126.17667,852175
82,ajr0-Ip6VLY,30.013514,28873,596007,962.534,71709651
83,aKAy-YFB6t8,20.083334,1205,108559,60.25,817589
84,AKeY-a9Ap7g,30.35,2428,88242,80.933,892715
85,aLf3-qjBjtE,30.0,54366,835363,1812.1670000000001,189227221
86,AL-W-AMLmMI,30.0,2482,2884939,82.755,29842897
87,alwF-CZK41A,12.0,619,55073,51.595,355190
88,alyF-ZEquwk,30.0,1410,1065470,46.967,6255241
89,ap6F-C5N6Z0,12.0,1098,55736,91.53166999999999,637708
90,aPWG-mbQfck,12.0,3054,57010,254.53667000000002,1813907
91,a-RD-7iVX60,29.0,4279,1779430,142.77834,31758015
92,aRId-J19Vgo,29.0,5662,2877311,188.925,67949498
93,arvr-RIipZA,30.0,17987,275219,599.533,20625406
94,ATTx-VTA-pc,29.0,4006,271871,133.634,4541417
95,aU2i-kfOJTM,15.0,7866,311222,524.3983,20400581
96,au9B-mTFXdw,25.0,15395,231497,615.76,17818327
97,aUfK52DhHy0,29.0,1057,271279,35.235,1194818
98,AUvn2EXpY-E,15.180326999999998,926,133015,61.821000000000005,1027891
99,AY0k-yUCR78,12.0,403,50374,33.621666,211710
