n,id,framerate,frames,bitrate,duration,size
0,jxVx-Rzp50w,12.0,1523,55839,127.011665,886532
1,jyf1-Bku9aw,12.0,1943,55366,161.935,1120722
2,k0-4-cFqVB8,30.0,6961,179377,232.0,5201933
3,K0qNp2W3YBI,30.0,17148,800318,571.567,57179482
4,K1Rg-avN4_8,12.0,7226,53624,614.4167,4118489
5,k26V-Rv-_vc,29.0,14598,286460,487.05400000000003,17440241
6,K2Pr-Rn6atg,30.090090000000004,3340,3497667,111.56200000000001,48775838
7,K5Fl-xkLuk0,24.0,3592,293693,149.625,5492978
8,K9i0-2KcvlE,29.0,3086,282226,102.936,3631407
9,K9Omkt04C6M,25.070553,8173,255571,326.92,10443939
10,KBOs-CU_XjU,30.0,6180,1470365,206.21099999999998,37900689
11,kCSF-vimj7c,29.0,1353,276501,45.145,1560335
12,Kebl-anOsmM,24.0,8182,1758986,340.93832000000003,74963218
13,KECJ-TOPCws,23.0,3417,1217902,142.52333000000002,21697435
14,KFpc-G79iXw,25.0,2295,731481,91.76,8390089
15,kFYs-qcGPO4,25.0,4873,287278,194.88,6998110
16,KG93-kTD5ZQ,30.212121999999997,2991,1701273,99.788,21220830
17,kI8h-e4iOgs,30.003104999999998,19322,5898384,644.78,475395013
18,kInr-7IEqSA,24.157894,2295,3100191,95.73899999999999,37101152
19,kjO9-wiXBF0,12.0,3352,56212,279.335,1962775
20,KlpM-TAWnQY,24.887096,1543,1973808,62.236999999999995,15355491
21,_kMY-KjwO_U,25.050504999999998,4960,580134,198.4,14387341
22,kNiu-Go0eQ0,12.0,3265,57290,272.09,1948511
23,kNR-XszMR5U,12.0,7648,55606,637.5267,4431325
24,KOJfEpYFkKo,23.0,43079,2075813,1796.76,466217205
25,kpmq-WwK-vY,25.0,3606,1121273,144.24167,20216795
26,kQ95-i-UqAM,12.0,3789,55100,315.79,2175037
27,Ks_P-KH4CM4,30.09,3009,462367,100.493,5808081
28,KX09-9vHi44,30.219513,1239,512464,41.3,2645600
29,KXKX-6rhn-c,12.0,3828,57299,319.04166000000004,2285131
30,k_zm-MBKVEw,12.0,1670,53387,139.18,928814
31,l1fI-z8DWlI,25.100479999999997,5246,166484,209.842,4366942
32,l1xd-AaNZL4,25.179486999999998,982,483999,39.798,2407775
33,l7LR-8Samf4,39.0,523,270363,39.225,1325624
34,l82K-EsIx18,25.0,9707,202823,388.24,9843003
35,L88a-HvkNiw,12.0,3203,52298,266.935,1745029
36,l8Za-Bp3VfE,10.0,1036,51546,103.513336,666968
37,l9r8-mSQD18,30.0,20393,5238688,679.7867,445148812
38,lcsB-Wh4szM,30.15942,4162,789245,138.733,13686802
39,lE3b-THRfbs,29.970371000000004,4046,48740,135.10399999999998,823122
40,LgAZ-OwU8cc,30.0,2167,3003547,72.236664,27120783
41,LIi6-oXl1Lo,29.0,2104,6211471,70.20167,54506956
42,LIxE-byQozM,29.0,1560,1020984,52.058334,6643842
43,LKds-jO1tyE,29.0,2369,2155452,79.06333000000001,21302161
44,lKuE-ZoyTLU,30.0,3540,815798,118.118,12045057
45,LM_G-ot8sGA,29.0,6632,250768,221.30832999999998,6937146
46,lNpW-6J9Tu0,25.0,22206,452621,888.2,50252347
47,LNTU-CGu7xI,25.0,1263,102022,50.48,643760
48,LNzo-cM2ggU,12.0,843,55332,70.263336,485983
49,LnZSX3UOFE8,30.0,81296,260920,2709.833,88381208
50,L-OB-NnVFfQ,12.0,1740,56796,159.335,1131214
51,lP4_-uCh_JA,29.0,4043,246894,134.868,4162277
52,LqIA-EKOvpM,12.0,3891,59881,324.28833,2427354
53,LqMj-Ufzq90,12.0,2175,50823,181.255,1151493
54,lReD-gFWqCM,29.0,4447,215810,148.34799999999998,4001885
55,lrUk-WlIQTw,15.0,2688,77820,179.13299999999998,1742531
56,lUkm-CLzhZs,25.0,6211,2812997,248.45334,87362340
57,LV0j-I6H1wI,25.0,23375,1590019,935.079,185849237
58,lWxf-g5vQv4,30.38,1519,2081076,50.70399999999999,13189861
59,LXtG-3h6GUQ,12.0,5938,56261,494.86334000000005,3480219
60,LZEj-D93fgc,29.9927,4109,4134592,137.143,70878806
61,lzUE-4NxZ-s,29.0,4100,274433,136.77,4691778
62,m02y-MrYUts,30.0,969,545450,32.266999999999996,2200007
63,M2KL-hOasDQ,25.0,2840,594587,113.56,8440164
64,m3iO-dIBlIY,12.0,7669,53245,639.6166400000001,4257108
65,M4HnTxc1RPE,12.0,2220,56463,185.015,1305824
66,M4mH-kfUuTQ,30.0,7794,800023,259.767,25977476
67,m6DI-1DesQ4,30.0,18137,1002055,604.533,75721975
68,M7H0-U-Ks0U,12.0,364,56604,35.525,251358
69,MAxk-VKMuXI,25.0,2388,317372,95.48,3787837
70,mbO7-N1jRvg,30.05651,12233,433515,407.76599999999996,22096624
71,Md_h-VhyOLE,20.0,7860,328078,392.95,16114802
72,mDOQ3dVMuBQ,29.0,10351,295805,345.345,12769385
73,mE95-5vYSCI,25.0,3300,6010942,132.0,99180540
74,MECp-AuZd8c,30.028571999999997,7357,1115013,245.577,34227708
75,meHA-ixcd_E,29.0,5537,224568,184.743,5185939
76,MFIG-g99c1Q,12.0,677,51083,56.423331999999995,360286
77,Mf-W-joOOTk,25.0,3190,605768,127.56,9658985
78,mgHq-IVHeXI,15.0,1487,801060,99.06700000000001,9919827
79,mghr-AuS1g8,15.008404,3572,155874,238.237,4641885
80,mI80-I0v9y8,29.0,6038,218990,201.435,5514032
81,mitn-mEND9k,30.5,1403,2654488,46.916000000000004,15567249
82,mjpm-dymJPk,29.0,3120,2154795,104.11667,28043764
83,MK_B-yoB1-4,12.0,2017,57072,168.11166,1199329
84,MKKV-D-baBc,30.0,3484,495132,116.15799999999999,7189197
85,ML5f-OzC2ZI,25.0,5345,258649,213.76,6911107
86,MmNI-eCNPQE,30.0,6418,272413,214.41299999999998,7301132
87,mRGL-2As05w,30.019125,10987,2584676,366.681,118468965
88,MsVy-J6JmRw,30.0,1020,306471,33.967,1301239
89,mtPR-vIUMwg,25.378378,939,325770,37.676,1534214
90,mtxB-1If2tY,29.0,14531,995055,484.85,60306587
91,mVTC-iF1Mao,30.164178999999997,2021,1557730,67.366,13117259
92,mwhx-lazKDQ,30.240963,2510,85206,83.853,893105
93,MwVV-5pG-7E,29.0,6350,185239,211.845,4905264
94,MykK-N4uNgU,29.0,12906,472531,430.63665999999995,25436179
95,MYsq-zZ5rgQ,29.0,4242,783771,146.241,14327434
96,MYv-wTKBWx8,12.0,2331,56737,194.25833,1377707
97,MzYS-IEBmsk,25.0,844,287829,33.719997,1213203
98,n0kX-hyCc14,30.0,6759,803300,225.267,22619648
99,n0xw-Uts8A4,29.0,7919,3441207,264.23,113658790
